,PROFILEMENTION_1,COMPANYMENTION_1,POLL_1,CONTENT_Document,CONTENT_Image,CONTENT_Poll,CONTENT_Text,CONTENT_Video (external),CONTENT_Video (native),LINKS_1,LINKS_2,TAGS_1-5,TAGS_6 and more,EMOJIS_1,CHARACTER_COUNT,AGE_IN_DAYS,ENGAGEMENT
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.681145747868608,6.48074069840786,27
1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6.244997998398398,9.0,45
2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.0,9.327379053088816,59
3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,7.280109889280518,9.539392014169456,108
4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6.782329983125268,10.488088481701515,46
5,1,0,0,0,1,0,0,0,0,0,0,1,0,1,13.784048752090222,10.816653826391969,73
6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7.211102550927978,11.313708498984761,38
7,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8.774964387392123,11.832159566199232,103
8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6.4031242374328485,12.083045973594572,49
9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28.635642126552707,12.449899597988733,89
10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,33.66006535941367,12.569805089976535,134
11,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6.324555320336759,12.609520212918492,33
12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,33.37663853655727,12.727922061357855,56
13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19.235384061671343,12.884098726725126,118
14,0,0,0,0,1,0,0,0,0,0,0,1,0,1,15.905973720586866,13.038404810405298,164
15,0,0,0,0,1,0,0,0,0,0,0,1,0,1,9.055385138137417,13.228756555322953,27
16,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6.324555320336759,13.416407864998739,44
17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,51.10772935672255,13.601470508735444,321
18,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6.0,13.674794331177344,40
19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8.306623862918075,13.892443989449804,22
20,0,0,0,0,0,0,0,0,1,0,0,1,0,1,9.539392014169456,13.96424004376894,30
21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.54400374531753,14.0,194
22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10.488088481701515,14.035668847618199,66
23,1,0,0,0,1,0,0,0,0,0,0,1,0,0,34.38022687534217,14.106735979665885,145
24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9.1104335791443,14.247806848775006,96
25,0,0,0,0,1,0,0,0,0,0,0,1,0,1,10.677078252031311,14.2828568570857,82
26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17.378147196982766,14.317821063276353,892
27,0,0,0,0,0,0,0,0,1,0,0,1,0,1,10.0,14.352700094407323,44
28,1,0,0,0,0,0,0,0,1,0,0,1,0,1,18.601075237738275,14.38749456993816,299
29,1,1,0,0,1,0,0,0,0,0,0,1,0,1,43.62338822237447,14.422205101855956,233
30,0,0,0,0,1,0,0,0,0,0,0,1,0,0,45.24378410345447,14.45683229480096,70
31,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.155870381627054,14.52583904633395,29
32,0,0,0,0,1,0,0,0,0,0,0,1,0,1,9.486832980505138,14.560219778561036,56
33,1,0,0,0,1,0,0,0,0,0,0,1,0,0,41.43669871020132,14.560219778561036,26
34,0,0,0,0,1,0,0,0,0,0,0,1,0,0,51.81698563212646,14.594519519326424,21
35,0,0,0,0,0,0,0,0,1,0,0,1,0,1,14.866068747318506,14.628738838327793,9
36,1,0,0,0,1,0,0,0,0,0,0,1,0,0,53.178943201233324,14.66287829861518,22
37,0,0,0,0,1,0,0,0,0,0,0,1,0,1,10.099504938362077,14.7648230602334,77
38,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.44329045369811,14.798648586948742,81
39,0,0,0,0,1,0,0,0,0,0,0,1,0,1,31.0322412983658,14.798648586948742,67
40,1,0,0,0,1,0,0,0,0,0,0,1,0,1,44.93328387732194,14.89966442575134,26
41,0,0,0,0,1,0,0,0,0,0,0,1,0,1,10.099504938362077,14.933184523068078,12
42,1,0,0,0,1,0,0,0,0,0,0,1,0,1,35.9722114972099,14.933184523068078,16
43,0,0,0,0,0,0,0,0,1,0,0,1,0,1,10.816653826391969,14.966629547095765,13
44,1,0,0,0,1,0,0,0,0,0,0,1,0,0,32.848135411313685,15.0,34
45,0,0,0,0,0,0,0,0,1,0,0,1,0,1,9.848857801796104,15.0,104
46,1,0,0,0,1,0,0,0,0,0,0,1,0,0,37.49666651850535,15.033296378372908,92
47,1,1,0,0,0,0,0,0,1,0,0,0,1,1,48.394214530251446,15.033296378372908,35
48,0,0,0,0,0,0,0,0,1,0,0,1,0,1,21.447610589527216,15.066519173319364,41
49,1,0,0,0,1,0,0,0,0,0,0,1,0,1,36.68787265568828,15.066519173319364,74
50,0,0,0,0,1,0,0,0,0,0,0,0,1,1,28.0178514522438,0.0,8
51,0,0,0,0,1,0,0,0,0,0,0,0,1,1,27.892651361962706,2.0,28
52,0,0,0,0,1,0,0,0,0,0,0,1,0,1,35.53871128783372,2.23606797749979,15
53,0,0,0,0,1,0,0,0,0,0,0,0,1,1,33.301651610693426,3.1622776601683795,10
54,0,0,0,0,1,0,0,0,0,0,0,0,1,1,34.322004603461025,3.7416573867739413,36
